Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px
ThinONL1.png	2daa2e28-cf5c-4ae3-96ef-57332ed6e5bd	Detection			ThinONL1	Ellipse	758.5	200.5
ThinONL1.png	d6fde6aa-cd3e-4d5f-8d79-60bc531c83af	Detection			ThinONL1	Ellipse	672.5	200.5
ThinONL1.png	c651242f-7001-4202-b638-c515e8ac93d1	Detection			ThinONL1	Ellipse	659.5	200.5
ThinONL1.png	d4d0f2fe-f2fb-44f6-bf46-ec66d32a2504	Detection			ThinONL1	Ellipse	1826.5	199.5
ThinONL1.png	dae38d68-f99d-4646-beb1-47facd061772	Detection			ThinONL1	Ellipse	1690.5	199.5
ThinONL1.png	fa1f74ce-e755-4935-9a11-04987ab48457	Detection			ThinONL1	Ellipse	1770.5	198.5
ThinONL1.png	33c684f1-64ac-4092-b8b2-578c160855e3	Detection			ThinONL1	Ellipse	1746.5	198.5
ThinONL1.png	b6feb413-5699-420e-adbf-4ca037e1c9e5	Detection			ThinONL1	Ellipse	866.5	197.5
ThinONL1.png	f63660c8-2ea5-45a1-9757-59164d0b9c5c	Detection			ThinONL1	Ellipse	804.5	197.5
ThinONL1.png	567b884d-7315-4226-975a-160b91c49029	Detection			ThinONL1	Ellipse	733.5	197.5
ThinONL1.png	b5ddb065-c000-4d4a-b2e5-eb658ffd2acf	Detection			ThinONL1	Ellipse	605.5	197.5
ThinONL1.png	623230b0-714a-411c-9645-2b739edd665d	Detection			ThinONL1	Ellipse	1678.5	196.5
ThinONL1.png	b76b3846-c713-47c0-b3e4-6b086068ffde	Detection			ThinONL1	Ellipse	1525.5	195.5
ThinONL1.png	a74352af-b8a6-4a64-9058-6fb4286b96b0	Detection			ThinONL1	Ellipse	1511.5	195.5
ThinONL1.png	d9fb4bc3-a4fa-47bc-8afb-c829255484df	Detection			ThinONL1	Ellipse	1306.5	195.5
ThinONL1.png	18bd0d6a-9d06-428f-94fa-21c82e6b9374	Detection			ThinONL1	Ellipse	1073.5	195.5
ThinONL1.png	eacecf3b-a12c-4696-9297-49717f157191	Detection			ThinONL1	Ellipse	833.5	195.5
ThinONL1.png	f66a4152-141d-4ffb-a60a-dd9777e60df3	Detection			ThinONL1	Ellipse	687.5	195.5
ThinONL1.png	68cba995-e9cb-408e-8ba2-91e2297fb373	Detection			ThinONL1	Ellipse	635.5	195.5
ThinONL1.png	53b5561e-3efc-4ac2-8981-e0c43ebdc590	Detection			ThinONL1	Ellipse	592.5	195.5
ThinONL1.png	6c7febef-1f49-4c94-95cb-6b6a4e29abdd	Detection			ThinONL1	Ellipse	1719.5	194.5
ThinONL1.png	a0163220-8918-499d-b6ce-78701c2e0890	Detection			ThinONL1	Ellipse	1656.5	194.5
ThinONL1.png	882fa7b1-3cdd-485a-96a4-f09c2fbc4cb2	Detection			ThinONL1	Ellipse	1639.5	194.5
ThinONL1.png	5cdbd9b5-4d5b-428c-a052-279bd5dea502	Detection			ThinONL1	Ellipse	1555.5	194.5
ThinONL1.png	da6abe76-5b4a-4ccb-87d0-b16fdea32a3d	Detection			ThinONL1	Ellipse	1359.5	194.5
ThinONL1.png	e5fdb41a-1415-45c0-aaa2-0568d3b0b05a	Detection			ThinONL1	Ellipse	940.5	194.5
ThinONL1.png	d4d2f5d3-c3b6-45b9-a7f2-ff2c957a48a5	Detection			ThinONL1	Ellipse	1793.5	193.5
ThinONL1.png	38d8d978-5ef2-4abf-9c81-667e3a7c6caf	Detection			ThinONL1	Ellipse	1378.5	193.5
ThinONL1.png	d1eb9897-66ff-4946-9219-4b99f9fdafbf	Detection			ThinONL1	Ellipse	1098.5	193.5
ThinONL1.png	20791127-7b7b-4054-80c3-4d8cdc7ac34d	Detection			ThinONL1	Ellipse	1605.5	192.5
ThinONL1.png	3ff6a127-5076-48b8-9ca9-839fedbd7cda	Detection			ThinONL1	Ellipse	1486.5	192.5
ThinONL1.png	38f5d61d-2f7d-4964-b42d-85b75d2bff1b	Detection			ThinONL1	Ellipse	1121.5	192.5
ThinONL1.png	45a03117-7a87-49f1-9ff8-a03207ab3cf8	Detection			ThinONL1	Ellipse	856.5	192.5
ThinONL1.png	90f036f1-4cbc-4cac-8710-a36e9dfe9a4d	Detection			ThinONL1	Ellipse	701.5	192.5
ThinONL1.png	ae984ed3-4397-4ad3-b7a4-9673a5ad71bb	Detection			ThinONL1	Ellipse	1625.5	191.5
ThinONL1.png	173acc1c-ecb4-44a3-9e63-7ee74667e92a	Detection			ThinONL1	Ellipse	1027.5	191.5
ThinONL1.png	1853a22c-76fc-47e4-b6ec-fb02ed75a8b3	Detection			ThinONL1	Ellipse	956.5	191.5
ThinONL1.png	f211a97f-cfaf-42d8-a4da-8825356fa970	Detection			ThinONL1	Ellipse	919.5	191.5
ThinONL1.png	7224cb55-b9f0-48c9-b535-f291fe94f9b3	Detection			ThinONL1	Ellipse	1583.5	190.5
ThinONL1.png	f078d37d-2df8-454a-8097-9bf10d9be350	Detection			ThinONL1	Ellipse	1144.5	190.5
ThinONL1.png	3e612c7b-c86f-4fc7-a53d-b81634082073	Detection			ThinONL1	Ellipse	986.5	190.5
ThinONL1.png	4f5099a8-d3fa-43d4-a40c-808cd53e459d	Detection			ThinONL1	Ellipse	726.5	190.5
ThinONL1.png	ae79612a-7538-4c5c-a2cd-9c21b94e3c1c	Detection			ThinONL1	Ellipse	1703.5	189.5
ThinONL1.png	f3b0a03d-4e42-49cb-8105-4ed9d016b642	Detection			ThinONL1	Ellipse	905.5	189.5
ThinONL1.png	ce042ff8-d290-4ad5-bc92-3371d8e3bf46	Detection			ThinONL1	Ellipse	691.5	189.5
ThinONL1.png	335fdda2-f978-40d6-b896-62bd050ede2c	Detection			ThinONL1	Ellipse	1568.5	188.5
ThinONL1.png	95025891-ecc5-486a-8ae3-3d154a447156	Detection			ThinONL1	Ellipse	1467.5	188.5
